weight,no,name,ticker
29.01%,2330,台積電,TPE:2330
3.03%,2454,聯發科,TPE:2454
2.69%,2317,鴻海,TPE:2317
1.71%,6505,台塑化,TPE:6505
1.63%,2412,中華電,TPE:2412
1.62%,2881,富邦金,TPE:2881
1.49%,2303,聯電,TPE:2303
1.48%,2882,國泰金,TPE:2882
1.25%,2308,台達電,TPE:2308
1.24%,2603,長榮,TPE:2603
1.23%,1303,南亞,TPE:1303
1.22%,1301,台塑,TPE:1301
0.96%,2002,中鋼,TPE:2002
0.89%,2891,中信金,TPE:2891
0.87%,2886,兆豐金,TPE:2886
0.86%,1326,台化,TPE:1326
0.84%,3711,日月光投控,TPE:3711
0.83%,6415,矽力-KY,TPE:6415
0.76%,8046,南電,TPE:8046
0.72%,2615,萬海,TPE:2615
0.70%,1216,統一,TPE:1216
0.68%,2884,玉山金,TPE:2884
0.67%,5871,中租-KY,TPE:5871
0.64%,3037,欣興,TPE:3037
0.64%,2609,陽明,TPE:2609
0.64%,3045,台灣大,TPE:3045
0.62%,2382,廣達,TPE:2382
0.62%,2207,和泰車,TPE:2207
0.61%,8454,富邦媒,TPE:8454
0.61%,5880,合庫金,TPE:5880
0.56%,2892,第一金,TPE:2892
0.55%,2395,研華,TPE:2395
0.54%,2885,元大金,TPE:2885
0.53%,2379,瑞昱,TPE:2379
0.53%,3034,聯詠,TPE:3034
0.53%,1101,台泥,TPE:1101
0.53%,2912,統一超,TPE:2912
0.50%,3008,大立光,TPE:3008
0.50%,2880,華南金,TPE:2880
0.49%,2357,華碩,TPE:2357
0.46%,2883,開發金,TPE:2883
0.43%,2408,南亞科,TPE:2408
0.43%,2327,國巨,TPE:2327
0.40%,2887,台新金,TPE:2887
0.39%,5876,上海商銀,TPE:5876
0.38%,4904,遠傳,TPE:4904
0.36%,2409,友達,TPE:2409
0.34%,6669,緯穎,TPE:6669
0.34%,3481,群創,TPE:3481
0.34%,9910,豐泰,TPE:9910
0.33%,4938,和碩,TPE:4938
0.32%,2890,永豐金,TPE:2890
0.32%,2801,彰銀,TPE:2801
0.32%,1590,亞德客-KY,TPE:1590
0.30%,2345,智邦,TPE:2345
0.30%,1476,儒鴻,TPE:1476
0.28%,2823,中壽,TPE:2823
0.28%,1402,遠東新,TPE:1402
0.28%,2888,新光金,TPE:2888
0.28%,2610,華航,TPE:2610
0.27%,1102,亞泥,TPE:1102
0.27%,2301,光寶科,TPE:2301
0.26%,6409,旭隼,TPE:6409
0.26%,2377,微星,TPE:2377
0.26%,6781,AES-KY,TPE:6781
0.25%,9945,潤泰新,TPE:9945
0.25%,5269,祥碩,TPE:5269
0.24%,2618,長榮航,TPE:2618
0.24%,2344,華邦電,TPE:2344
0.22%,2474,可成,TPE:2474
0.22%,9921,巨大,TPE:9921
0.21%,8464,億豐,TPE:8464
0.20%,2105,正新,TPE:2105
0.20%,3189,景碩,TPE:3189
0.19%,2324,仁寶,TPE:2324
0.18%,2347,聯強,TPE:2347
0.18%,2049,上銀,TPE:2049
0.18%,3532,台勝科,TPE:3532
0.18%,9904,寶成,TPE:9904
0.18%,2383,台光電,TPE:2383
0.17%,4958,臻鼎-KY,TPE:4958
0.17%,2356,英業達,TPE:2356
0.17%,2027,大成鋼,TPE:2027
0.17%,2354,鴻準,TPE:2354
0.17%,9914,美利達,TPE:9914
0.17%,1605,華新,TPE:1605
0.16%,2376,技嘉,TPE:2376
0.16%,2353,宏碁,TPE:2353
0.16%,3702,大聯大,TPE:3702
0.16%,2492,華新科,TPE:2492
0.16%,2371,大同,TPE:2371
0.16%,3231,緯創,TPE:3231
0.15%,1229,聯華,TPE:1229
0.15%,3443,創意,TPE:3443
0.15%,2337,旺宏,TPE:2337
0.15%,2360,致茂,TPE:2360
0.15%,2633,台灣高鐵,TPE:2633
0.15%,1802,台玻,TPE:1802
0.14%,6239,力成,TPE:6239
0.14%,6531,愛普*,TPE:6531
0.14%,2834,臺企銀,TPE:2834
0.14%,2227,裕日車,TPE:2227
0.14%,2915,潤泰全,TPE:2915
0.14%,3533,嘉澤,TPE:3533
0.13%,3661,世芯-KY,TPE:3661
0.13%,1722,台肥,TPE:1722
0.12%,1504,東元,TPE:1504
0.12%,3044,健鼎,TPE:3044
0.12%,9941,裕融,TPE:9941
0.12%,4919,新唐,TPE:4919
0.12%,2498,宏達電,TPE:2498
0.12%,3406,玉晶光,TPE:3406
0.11%,2542,興富發,TPE:2542
0.11%,3023,信邦,TPE:3023
0.11%,2385,群光,TPE:2385
0.11%,2352,佳世達,TPE:2352
0.11%,1907,永豐餘,TPE:1907
0.11%,1477,聚陽,TPE:1477
0.10%,6271,同欣電,TPE:6271
0.10%,2637,慧洋-KY,TPE:2637
0.10%,2812,台中銀,TPE:2812
0.10%,3653,健策,TPE:3653
0.10%,2449,京元電子,TPE:2449
0.10%,3714,富采,TPE:3714
0.09%,5522,遠雄,TPE:5522
0.09%,2014,中鴻,TPE:2014
0.09%,3036,文曄,TPE:3036
0.09%,2313,華通,TPE:2313
0.09%,2458,義隆,TPE:2458
0.09%,1434,福懋,TPE:1434
0.09%,6213,聯茂,TPE:6213
0.09%,1314,中石化,TPE:1314
0.09%,2889,國票金,TPE:2889
0.09%,2006,東和鋼鐵,TPE:2006
0.09%,9917,中保科,TPE:9917
0.09%,1227,佳格,TPE:1227
0.09%,2923,鼎固-KY,TPE:2923
0.09%,6592,和潤企業,TPE:6592
0.09%,6116,彩晶,TPE:6116
0.09%,4961,天鈺,TPE:4961
0.09%,3035,智原,TPE:3035
0.09%,3006,晶豪科,TPE:3006
0.09%,2059,川湖,TPE:2059
0.09%,2606,裕民,TPE:2606
0.08%,2809,京城銀,TPE:2809
0.08%,2023,燁輝,TPE:2023
0.08%,2015,豐興,TPE:2015
0.08%,1717,長興,TPE:1717
0.08%,6176,瑞儀,TPE:6176
0.08%,1210,大成,TPE:1210
0.08%,2441,超豐,TPE:2441
0.08%,2388,威盛,TPE:2388
0.08%,2481,強茂,TPE:2481
0.08%,2108,南帝,TPE:2108
0.08%,2838,聯邦銀,TPE:2838
0.08%,2201,裕隆,TPE:2201
0.08%,3016,嘉晶,TPE:3016
0.07%,2368,金像電,TPE:2368
0.07%,3706,神達,TPE:3706
0.07%,1440,南紡,TPE:1440
0.07%,1904,正隆,TPE:1904
0.07%,6756,威鋒電子,TPE:6756
0.07%,1304,台聚,TPE:1304
0.07%,2845,遠東銀,TPE:2845
0.07%,2204,中華,TPE:2204
0.07%,6269,台郡,TPE:6269
0.07%,3545,敦泰,TPE:3545
0.07%,6005,群益證,TPE:6005
0.06%,3665,貿聯-KY,TPE:3665
0.06%,3576,聯合再生,TPE:3576
0.06%,6278,台表科,TPE:6278
0.06%,2855,統一證,TPE:2855
0.06%,2404,漢唐,TPE:2404
0.06%,8016,矽創,TPE:8016
0.06%,6456,GIS-KY,TPE:6456
0.06%,8150,南茂,TPE:8150
0.06%,3042,晶技,TPE:3042
0.06%,2101,南港,TPE:2101
0.06%,3005,神基,TPE:3005
0.06%,6491,晶碩,TPE:6491
0.06%,2504,國產,TPE:2504
0.06%,1409,新纖,TPE:1409
0.06%,2607,榮運,TPE:2607
0.06%,3017,奇鋐,TPE:3017
0.06%,1909,榮成,TPE:1909
0.06%,2903,遠百,TPE:2903
0.06%,2451,創見,TPE:2451
0.06%,2351,順德,TPE:2351
0.06%,6285,啟碁,TPE:6285
0.05%,6412,群電,TPE:6412
0.05%,3515,華擎,TPE:3515
0.05%,6196,帆宣,TPE:6196
0.05%,2455,全新,TPE:2455
0.05%,1313,聯成,TPE:1313
0.05%,6533,晶心科,TPE:6533
0.05%,3019,亞光,TPE:3019
0.05%,1773,勝一,TPE:1773
0.05%,1503,士電,TPE:1503
0.05%,2634,漢翔,TPE:2634
0.05%,9933,中鼎,TPE:9933
0.05%,1723,中碳,TPE:1723
0.05%,2103,台橡,TPE:2103
0.05%,2106,建大,TPE:2106
0.05%,1795,美時,TPE:1795
0.05%,8422,可寧衛,TPE:8422
0.05%,5434,崇越,TPE:5434
0.05%,1905,華紙,TPE:1905
0.05%,1507,永大,TPE:1507
0.05%,6670,復盛應用,TPE:6670
0.05%,6257,矽格,TPE:6257
0.05%,1312,國喬,TPE:1312
0.05%,9958,世紀鋼,TPE:9958
